Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,2.699e-5,-0.001505,-0.003113,-0.004734,-0.006406
2,4.164e-5,-0.001114,-0.002364,-0.003643,-0.004986
3,2.77e-5,-0.0008198,-0.001773,-0.002763,-0.003744
4,1.848e-5,-0.0005022,-0.001148,-0.001829,-0.002556
5,2.591e-6,-0.0003104,-0.0007,-0.001136,-0.001513
6,2.247e-5,-8.056e-6,-0.0001244,-0.0002881,-0.0005006
7,1.222e-5,0.000198,0.0003153,0.0003646,0.0003043
8,2.865e-5,0.0004284,0.0007391,0.000988,0.001132
9,2.138e-5,0.000597,0.001068,0.001483,0.001807
10,2.024e-5,0.0007459,0.001369,0.001925,0.002292
11,1.539e-6,0.0007963,0.001516,0.002175,0.00275
12,-8.71e-6,0.0009027,0.001752,0.002539,0.003115
13,-9.248e-6,0.0009555,0.001838,0.002664,0.003364
14,-1.471e-5,0.0009629,0.001911,0.002785,0.003552
15,-2.34e-5,0.0009598,0.001905,0.002786,0.003629
16,-2.102e-5,0.0009398,0.001855,0.002726,0.003616
17,-2.479e-5,0.0008867,0.001758,0.002597,0.003414
18,-2.99e-5,0.0007273,0.001467,0.002185,0.003059
19,-1.987e-5,0.0006369,0.001279,0.001902,0.002593
20,-1.934e-5,0.0003782,0.0008199,0.001269,0.001946
21,-2.255e-5,0.0001233,0.0003625,0.0006326,0.001031
22,-2.353e-5,-0.0002121,-0.0002814,-0.00029,-0.000171
23,-1.63e-5,-0.000732,-0.001242,-0.001637,-0.001963
24,-3.325e-5,-0.001627,-0.0029,-0.00396,-0.004892
25,4.274e-5,-0.003409,-0.00631,-0.008743,-0.01087